"Percentage of students in primary education who are female (%)","Holy See","1999",,a
"Percentage of students in primary education who are female (%)","Holy See","2000",,a
"Percentage of students in primary education who are female (%)","Holy See","2001",,a
"Percentage of students in primary education who are female (%)","Holy See","2002",,a
"Percentage of students in primary education who are female (%)","Holy See","2003",,a
"Percentage of students in primary education who are female (%)","Holy See","2004",,a
"Percentage of students in primary education who are female (%)","Holy See","2005",,a
"Percentage of students in primary education who are female (%)","Holy See","2006",,a
"Percentage of students in primary education who are female (%)","Holy See","2007",,a
"Percentage of students in primary education who are female (%)","Holy See","2008",,a
"Percentage of students in primary education who are female (%)","Holy See","2009",,a
"Percentage of students in primary education who are female (%)","Holy See","2010",,a
"Percentage of students in primary education who are female (%)","Holy See","2011",,a
"Percentage of students in primary education who are female (%)","Holy See","2012",,a
"Percentage of students in primary education who are female (%)","Holy See","2013",,a
"Percentage of students in primary education who are female (%)","East Asia and the Pacific","1999",47.80156,‡
"Percentage of students in primary education who are female (%)","East Asia and the Pacific","2000",47.85973,‡
"Percentage of students in primary education who are female (%)","East Asia and the Pacific","2001",47.90202,
"Percentage of students in primary education who are female (%)","East Asia and the Pacific","2002",47.74091,
"Percentage of students in primary education who are female (%)","East Asia and the Pacific","2003",47.67058,
"Percentage of students in primary education who are female (%)","East Asia and the Pacific","2004",47.62197,‡
"Percentage of students in primary education who are female (%)","East Asia and the Pacific","2005",47.51219,‡
"Percentage of students in primary education who are female (%)","East Asia and the Pacific","2006",47.4385,
"Percentage of students in primary education who are female (%)","East Asia and the Pacific","2007",47.32867,
"Percentage of students in primary education who are female (%)","East Asia and the Pacific","2008",47.31038,
"Percentage of students in primary education who are female (%)","East Asia and the Pacific","2009",47.21681,
"Percentage of students in primary education who are female (%)","East Asia and the Pacific","2010",47.35823,
"Percentage of students in primary education who are female (%)","East Asia and the Pacific","2011",47.34368,
"Percentage of students in primary education who are female (%)","East Asia and the Pacific","2012",47.22978,
"Percentage of students in primary education who are female (%)","Eritrea","1999",45.1915,
"Percentage of students in primary education who are female (%)","Eritrea","2000",44.92281,
"Percentage of students in primary education who are female (%)","Eritrea","2001",44.97892,
"Percentage of students in primary education who are female (%)","Eritrea","2002",44.27119,
"Percentage of students in primary education who are female (%)","Eritrea","2003",44.40786,
"Percentage of students in primary education who are female (%)","Eritrea","2004",44.17422,
"Percentage of students in primary education who are female (%)","Eritrea","2005",44.35647,
"Percentage of students in primary education who are female (%)","Eritrea","2006",44.43905,
"Percentage of students in primary education who are female (%)","Eritrea","2007",45.12664,
"Percentage of students in primary education who are female (%)","Eritrea","2008",44.83336,
"Percentage of students in primary education who are female (%)","Eritrea","2009",44.98666,
"Percentage of students in primary education who are female (%)","Eritrea","2010",45.1778,
"Percentage of students in primary education who are female (%)","Eritrea","2011",44.77621,
"Percentage of students in primary education who are female (%)","Eritrea","2012",44.82969,
"Percentage of students in primary education who are female (%)","Suriname","2001",48.94529,
"Percentage of students in primary education who are female (%)","Suriname","2002",48.66532,
"Percentage of students in primary education who are female (%)","Suriname","2005",48.32054,
"Percentage of students in primary education who are female (%)","Suriname","2006",48.33563,
"Percentage of students in primary education who are female (%)","Suriname","2007",47.87142,
"Percentage of students in primary education who are female (%)","Suriname","2008",48.25441,
"Percentage of students in primary education who are female (%)","Suriname","2009",48.20187,
"Percentage of students in primary education who are female (%)","Suriname","2011",48.29903,
"Percentage of students in primary education who are female (%)","Namibia","1999",50.10424,
"Percentage of students in primary education who are female (%)","Namibia","2000",50.02337,
"Percentage of students in primary education who are female (%)","Namibia","2001",49.98226,
