Indicator,Country,Time,Value,Flags
Percentage of students in upper secondary education who are female (%),Palestine,1999,50.03343,
Percentage of students in upper secondary education who are female (%),Palestine,2000,50.96001,
Percentage of students in upper secondary education who are female (%),Palestine,2001,52.03368,
Percentage of students in upper secondary education who are female (%),Palestine,2002,52.03963,
Percentage of students in upper secondary education who are female (%),Palestine,2003,52.11626,
Percentage of students in upper secondary education who are female (%),Palestine,2004,51.60925,
Percentage of students in upper secondary education who are female (%),Palestine,2005,51.79232,
Percentage of students in upper secondary education who are female (%),Palestine,2006,52.37587,
Percentage of students in upper secondary education who are female (%),Palestine,2007,52.93346,
Percentage of students in upper secondary education who are female (%),Palestine,2008,53.11608,ﾇ
Percentage of students in upper secondary education who are female (%),Palestine,2009,53.22493,
Percentage of students in upper secondary education who are female (%),Palestine,2010,54.05526,
Percentage of students in upper secondary education who are female (%),Palestine,2011,54.8403,
Percentage of students in upper secondary education who are female (%),Palestine,2012,54.44768,
Percentage of students in primary education who are female (%),Holy See,1999,,a
Percentage of students in primary education who are female (%),Holy See,2000,,a
Percentage of students in primary education who are female (%),Holy See,2001,,a
Percentage of students in primary education who are female (%),Holy See,2002,,a
Percentage of students in primary education who are female (%),Holy See,2003,,a
Percentage of students in primary education who are female (%),Holy See,2004,,a
Percentage of students in primary education who are female (%),Holy See,2005,,a
Percentage of students in primary education who are female (%),Holy See,2006,,a
Percentage of students in primary education who are female (%),Holy See,2007,,a
Percentage of students in primary education who are female (%),Holy See,2008,,a
Percentage of students in primary education who are female (%),Holy See,2009,,a
Percentage of students in primary education who are female (%),Holy See,2010,,a
Percentage of students in primary education who are female (%),Holy See,2011,,a
Percentage of students in primary education who are female (%),Holy See,2012,,a
Percentage of students in primary education who are female (%),Holy See,2013,,a
Percentage of students in lower secondary education who are female (%),High income countries,1999,48.78223,
Percentage of students in lower secondary education who are female (%),High income countries,2000,48.80835,
Percentage of students in lower secondary education who are female (%),High income countries,2001,48.7076,
Percentage of students in lower secondary education who are female (%),High income countries,2002,48.58292,
Percentage of students in lower secondary education who are female (%),High income countries,2003,48.64416,
Percentage of students in lower secondary education who are female (%),High income countries,2004,48.86409,
Percentage of students in lower secondary education who are female (%),High income countries,2005,48.54252,
Percentage of students in lower secondary education who are female (%),High income countries,2006,48.50446,
Percentage of students in lower secondary education who are female (%),High income countries,2007,48.57519,
Percentage of students in lower secondary education who are female (%),High income countries,2008,48.46356,
Percentage of students in lower secondary education who are female (%),High income countries,2009,48.49793,
Percentage of students in lower secondary education who are female (%),High income countries,2010,48.52223,
Percentage of students in lower secondary education who are female (%),High income countries,2011,48.42101,
Percentage of students in lower secondary education who are female (%),High income countries,2012,48.53226,
Percentage of students in lower secondary education who are female (%),Peru,1999,47.36114,
Percentage of students in lower secondary education who are female (%),Peru,2000,47.3069,
Percentage of students in lower secondary education who are female (%),Peru,2001,47.2989,
Percentage of students in lower secondary education who are female (%),Peru,2002,47.26219,
Percentage of students in lower secondary education who are female (%),Peru,2003,47.45846,
Percentage of students in lower secondary education who are female (%),Peru,2004,48.75275,
Percentage of students in lower secondary education who are female (%),Peru,2005,48.75365,
Percentage of students in lower secondary education who are female (%),Peru,2006,49.04994,
Percentage of students in lower secondary education who are female (%),Peru,2007,48.74251,
Percentage of students in lower secondary education who are female (%),Peru,2008,48.71505,
Percentage of students in lower secondary education who are female (%),Peru,2009,48.30035,
Percentage of students in lower secondary education who are female (%),Peru,2010,48.34847,
Percentage of students in lower secondary education who are female (%),Peru,2011,48.27384,
Percentage of students in lower secondary education who are female (%),Peru,2012,47.63708,
Percentage of students in pre-primary education who are female (%),Developing countries,1999,47.33482,
Percentage of students in pre-primary education who are female (%),Developing countries,2000,47.54995,
Percentage of students in pre-primary education who are female (%),Developing countries,2001,47.25338,
Percentage of students in pre-primary education who are female (%),Developing countries,2002,47.8342,
Percentage of students in pre-primary education who are female (%),Developing countries,2003,47.83516,
Percentage of students in pre-primary education who are female (%),Developing countries,2004,47.86523,
Percentage of students in pre-primary education who are female (%),Developing countries,2005,47.96361,
Percentage of students in pre-primary education who are female (%),Developing countries,2006,47.928,
Percentage of students in pre-primary education who are female (%),Developing countries,2007,47.78951,
Percentage of students in pre-primary education who are female (%),Developing countries,2008,47.79854,
Percentage of students in pre-primary education who are female (%),Developing countries,2009,47.69059,
Percentage of students in pre-primary education who are female (%),Developing countries,2010,47.9039,
Percentage of students in pre-primary education who are female (%),Developing countries,2011,47.91921,
Percentage of students in pre-primary education who are female (%),Developing countries,2012,48.00576,ﾇ
Percentage of students in post-secondary non-tertiary education who are female (%),Hungary,1999,51.94393,
Percentage of students in post-secondary non-tertiary education who are female (%),Hungary,2000,51.83112,
Percentage of students in post-secondary non-tertiary education who are female (%),Hungary,2001,52.33333,
Percentage of students in post-secondary non-tertiary education who are female (%),Hungary,2002,52.28408,
Percentage of students in post-secondary non-tertiary education who are female (%),Hungary,2003,52.56608,
Percentage of students in post-secondary non-tertiary education who are female (%),Hungary,2004,46.02529,
Percentage of students in post-secondary non-tertiary education who are female (%),Hungary,2005,45.86071,
Percentage of students in post-secondary non-tertiary education who are female (%),Hungary,2006,48.24824,
Percentage of students in post-secondary non-tertiary education who are female (%),Hungary,2007,46.48081,
Percentage of students in post-secondary non-tertiary education who are female (%),Hungary,2008,46.90456,
Percentage of students in post-secondary non-tertiary education who are female (%),Hungary,2009,45.77909,
Percentage of students in post-secondary non-tertiary education who are female (%),Hungary,2010,46.34234,
Percentage of students in post-secondary non-tertiary education who are female (%),Hungary,2011,46.96298,
Percentage of students in post-secondary non-tertiary education who are female (%),Hungary,2012,47.17791,
Percentage of students in upper secondary education who are female (%),Tonga,1999,53.31535,
Percentage of students in upper secondary education who are female (%),Tonga,2001,50.2624,
Percentage of students in upper secondary education who are female (%),Tonga,2006,50.70829,
Percentage of students in primary education who are female (%),East Asia and the Pacific,1999,47.80156,ﾇ
Percentage of students in primary education who are female (%),East Asia and the Pacific,2000,47.85973,ﾇ
Percentage of students in primary education who are female (%),East Asia and the Pacific,2001,47.90202,
Percentage of students in primary education who are female (%),East Asia and the Pacific,2002,47.74091,
Percentage of students in primary education who are female (%),East Asia and the Pacific,2003,47.67058,
Percentage of students in primary education who are female (%),East Asia and the Pacific,2004,47.62197,ﾇ
Percentage of students in primary education who are female (%),East Asia and the Pacific,2005,47.51219,ﾇ
Percentage of students in primary education who are female (%),East Asia and the Pacific,2006,47.4385,
Percentage of students in primary education who are female (%),East Asia and the Pacific,2007,47.32867,
Percentage of students in primary education who are female (%),East Asia and the Pacific,2008,47.31038,
Percentage of students in primary education who are female (%),East Asia and the Pacific,2009,47.21681,
Percentage of students in primary education who are female (%),East Asia and the Pacific,2010,47.35823,
Percentage of students in primary education who are female (%),East Asia and the Pacific,2011,47.34368,
Percentage of students in primary education who are female (%),East Asia and the Pacific,2012,47.22978,
Percentage of students in primary education who are female (%),Eritrea,1999,45.1915,
Percentage of students in primary education who are female (%),Eritrea,2000,44.92281,
Percentage of students in primary education who are female (%),Eritrea,2001,44.97892,
Percentage of students in primary education who are female (%),Eritrea,2002,44.27119,
Percentage of students in primary education who are female (%),Eritrea,2003,44.40786,
Percentage of students in primary education who are female (%),Eritrea,2004,44.17422,
Percentage of students in primary education who are female (%),Eritrea,2005,44.35647,
Percentage of students in primary education who are female (%),Eritrea,2006,44.43905,
Percentage of students in primary education who are female (%),Eritrea,2007,45.12664,
Percentage of students in primary education who are female (%),Eritrea,2008,44.83336,
Percentage of students in primary education who are female (%),Eritrea,2009,44.98666,
Percentage of students in primary education who are female (%),Eritrea,2010,45.1778,
Percentage of students in primary education who are female (%),Eritrea,2011,44.77621,
Percentage of students in primary education who are female (%),Eritrea,2012,44.82969,
Percentage of students in primary education who are female (%),Suriname,2001,48.94529,
Percentage of students in primary education who are female (%),Suriname,2002,48.66532,
Percentage of students in primary education who are female (%),Suriname,2005,48.32054,
Percentage of students in primary education who are female (%),Suriname,2006,48.33563,
Percentage of students in primary education who are female (%),Suriname,2007,47.87142,
Percentage of students in primary education who are female (%),Suriname,2008,48.25441,
Percentage of students in primary education who are female (%),Suriname,2009,48.20187,
Percentage of students in primary education who are female (%),Suriname,2011,48.29903,
Percentage of students in lower secondary education who are female (%),Mongolia,1999,54.25334,
Percentage of students in lower secondary education who are female (%),Mongolia,2000,53.81664,
Percentage of students in lower secondary education who are female (%),Mongolia,2001,53.31741,
Percentage of students in lower secondary education who are female (%),Mongolia,2002,52.8351,
Percentage of students in lower secondary education who are female (%),Mongolia,2003,52.04865,
Percentage of students in lower secondary education who are female (%),Mongolia,2004,51.45139,
Percentage of students in lower secondary education who are female (%),Mongolia,2005,51.28585,
Percentage of students in lower secondary education who are female (%),Mongolia,2006,51.34808,
Percentage of students in lower secondary education who are female (%),Mongolia,2007,50.84161,
Percentage of students in lower secondary education who are female (%),Mongolia,2008,50.8045,
Percentage of students in lower secondary education who are female (%),Mongolia,2009,50.76828,
Percentage of students in lower secondary education who are female (%),Mongolia,2010,50.58347,
Percentage of students in lower secondary education who are female (%),Mongolia,2011,50.43188,
