"Life expectancy at birth (years)","Published","2012","Europe","High-income","Andorra","Both sexes","83","83.00000","","",""
"Life expectancy at birth (years)","Published","2000","Eastern Mediterranean","High-income","United Arab Emirates","Both sexes","74","74.00000","","",""
"Life expectancy at birth (years)","Published","2000","Americas","High-income","Antigua and Barbuda","Both sexes","73","73.00000","","",""
"Life expectancy at birth (years)","Published","2012","Americas","High-income","Antigua and Barbuda","Both sexes","75","75.00000","","",""
"Life expectancy at birth (years)","Published","1990","Western Pacific","High-income","Australia","Both sexes","77","77.00000","","",""
"Life expectancy at birth (years)","Published","2000","Europe","High-income","Belgium","Both sexes","78","78.00000","","",""
"Life expectancy at birth (years)","Published","2000","Eastern Mediterranean","High-income","Bahrain","Both sexes","74","74.00000","","",""
"Life expectancy at birth (years)","Published","1990","Americas","High-income","Canada","Both sexes","77","77.00000","","",""
"Life expectancy at birth (years)","Published","1990","Europe","High-income","Switzerland","Both sexes","78","78.00000","","",""
"Life expectancy at birth (years)","Published","2012","Europe","High-income","Cyprus","Both sexes","82","82.00000","","",""
"Life expectancy at birth (years)","Published","2012","Europe","High-income","Czech Republic","Both sexes","78","78.00000","","",""
"Life expectancy at birth (years)","Published","2000","Europe","High-income","Germany","Both sexes","78","78.00000","","",""
"Life expectancy at birth (years)","Published","1990","Europe","High-income","Greece","Both sexes","77","77.00000","","",""
"Life expectancy at birth (years)","Published","2000","Europe","High-income","Greece","Both sexes","78","78.00000","","",""
"Life expectancy at birth (years)","Published","2012","Europe","High-income","Ireland","Both sexes","81","81.00000","","",""
"Life expectancy at birth (years)","Published","2000","Europe","High-income","Iceland","Both sexes","80","80.00000","","",""
"Life expectancy at birth (years)","Published","2000","Europe","High-income","Israel","Both sexes","79","79.00000","","",""
"Life expectancy at birth (years)","Published","2012","Western Pacific","High-income","Republic of Korea","Both sexes","81","81.00000","","",""
"Life expectancy at birth (years)","Published","2012","Eastern Mediterranean","High-income","Kuwait","Both sexes","78","78.00000","","",""
"Life expectancy at birth (years)","Published","2012","Europe","High-income","Netherlands","Both sexes","81","81.00000","","",""
"Life expectancy at birth (years)","Published","1990","Europe","High-income","Norway","Both sexes","77","77.00000","","",""
"Life expectancy at birth (years)","Published","2012","Western Pacific","High-income","New Zealand","Both sexes","82","82.00000","","",""
"Life expectancy at birth (years)","Published","1990","Europe","High-income","Portugal","Both sexes","74","74.00000","","",""
"Life expectancy at birth (years)","Published","2012","Europe","High-income","Portugal","Both sexes","81","81.00000","","",""
"Life expectancy at birth (years)","Published","2012","Western Pacific","High-income","Singapore","Both sexes","83","83.00000","","",""
"Life expectancy at birth (years)","Published","2012","Americas","High-income","Trinidad and Tobago","Both sexes","70","70.00000","","",""
"Life expectancy at birth (years)","Published","1990","Americas","High-income","United States of America","Both sexes","75","75.00000","","",""
"Life expectancy at birth (years)","Published","2000","Americas","High-income","United States of America","Both sexes","77","77.00000","","",""
"Life expectancy at birth (years)","Published","1990","Africa","Low-income","Benin","Both sexes","53","53.00000","","",""
"Life expectancy at birth (years)","Published","1990","Africa","Low-income","Burkina Faso","Both sexes","50","50.00000","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Low-income","Democratic Republic of the Congo","Both sexes","48","48.00000","","",""
"Life expectancy at birth (years)","Published","2012","Africa","Low-income","Ethiopia","Both sexes","64","64.00000","","",""
"Life expectancy at birth (years)","Published","2012","Americas","Low-income","Haiti","Both sexes","62","62.00000","","",""
"Life expectancy at birth (years)","Published","1990","Africa","Low-income","Kenya","Both sexes","60","60.00000","","",""
"Life expectancy at birth (years)","Published","1990","Africa","Low-income","Liberia","Both sexes","42","42.00000","","",""
"Life expectancy at birth (years)","Published","2012","South-East Asia","Low-income","Myanmar","Both sexes","66","66.00000","","",""
"Life expectancy at birth (years)","Published","1990","Africa","Low-income","Mozambique","Both sexes","43","43.00000","","",""
"Life expectancy at birth (years)","Published","1990","Africa","Low-income","Mauritania","Both sexes","58","58.00000","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Low-income","Mauritania","Both sexes","60","60.00000","","",""
"Life expectancy at birth (years)","Published","2000","Western Pacific","Low-income","Niue","Both sexes","73","73.00000","","",""
